city,total_orders,total_revenue
Kurukshetra,4,2323.0
THUMBE,3,2322.0
HAJIRA,4,2321.2799999999997
YADGIR,4,2320.0
BELLAMPALLE,3,2318.86
SALBANI,6,2318.0
CHANGODAR GIDC,3,2317.0
METTUR,3,2317.0
AYACODE,3,2314.0
IMPHAL west,4,2312.0
BHALWAL,3,2311.0
"Tadigadapa,VIJAYAWADA",4,2307.0
Hooghly,4,2306.0
Parappanangadi,4,2305.0
Gurdaspur,4,2304.0
VIKAS PURI,2,2301.0
MANNARKAD I,3,2300.0
FEROZEPUR JHIRKA,3,2299.0
RUPAISIDING TINSUKIA DISTRICT,2,2298.0
DEBRA,7,2298.0
Manjeri,4,2298.0
RUDRAPRAYAG,3,2296.0
SIMDEGA,2,2294.0
ANNAMALAI NAGAR,5,2290.0
Chittorgarh,3,2289.0
BANSDA,5,2287.1
NANNILAM,3,2287.0
DHEKIAJULI,4,2287.0
haridwar,4,2286.0
Pimpri chinchwad,5,2285.48
Meenangadi,3,2285.0
SAUSAR,5,2284.48
Sanpada sector 1,4,2282.0
Chengamanad P O 683578,3,2281.48
MUZHAPPILANGAD,3,2281.0
KOLAMBE,4,2281.0
KUZHITHURAI,4,2279.0
Kotdwara,3,2277.0
firozabad,3,2277.0
Manjeri p.o,3,2276.29
Kozikode,4,2276.0
HANAMKONDA,3,2274.0
Tiruchirapalli,2,2274.0
NARASIMHARAJAPURA,4,2273.0
"PIMPRI CHINCHWAD, Pune",3,2272.33
AMILA,2,2270.0
Pulpally,3,2268.29
"PHULPUR,ALLAHABAD",2,2267.0
BELUR,4,2266.0
MANAKUNNAM,3,2263.48
HYDERABAD (500034),5,2263.0
ARIYALUR,3,2262.0
KOTKAPURA,3,2261.86
Vinukonda,3,2259.0
ernakulam,4,2257.0
PALAM,2,2256.0
howrah,3,2254.0
DEULGAON RAJA,5,2254.0
East delhi,2,2251.0
MYLAVARAM,4,2250.57
"Chembur, opp Bldg no . 112, MUMBAI",2,2250.0
PEDDAPALLI,3,2249.67
KUMBALANGY,3,2248.0
Coonoor,4,2246.0
RADAUR,2,2244.0
BARPETA ROAD,3,2243.0
Jhajjar,4,2242.0
MATENHAIL,3,2241.0
Madikeri,3,2241.0
VIZAG,3,2239.58
Samastipur,2,2238.0
Kgf,3,2238.0
Mhow,2,2237.0
Bagalkot,4,2236.0
"Kunrathur, Chennai",3,2233.0
Fatehgarh Panjtoor,3,2232.0
SALIGAO,5,2232.0
Kodinhi p o,2,2230.0
MIRAJ,4,2229.0
PHULIA,3,2227.0
palakkad,4,2227.0
BALASINOR,2,2226.0
CHEKONIDHARA,3,2225.0
MEDCHAL,2,2225.0
Patratu,2,2224.0
PONNEKALLUP,2,2224.0
PORATHISSERY,4,2223.0
VALLACHIRA,3,2222.0
BALAPALLAM,3,2220.29
BARPETA,2,2219.0
Kalamassery,2,2218.86
panvel,5,2217.2799999999997
Karumaloor,2,2214.29
NTPC TANDA COLONY,2,2214.0
MUMBAI-400051,2,2213.0
CHITBARA GAON,3,2212.0
Pimpalgaon,2,2210.72
KHARSIA,3,2209.43
HOSDURG,3,2209.0
Krishnanagar,4,2206.0
NAGAMALAIPUDUKOTTAI,5,2206.0
TAMLUK,4,2206.0
PAPANNAPET,3,2205.0
PARWANOO,3,2205.0
Cherthala,4,2202.0
"Tadepalli, VIJAYAWADA",2,2198.0
KANDLA,2,2198.0
Chidambaram,4,2197.0
CHAGALLU,4,2196.0
MUMBAI 400057,3,2195.29
NJARACKAL,3,2195.0
Darjeeling,3,2193.0
NELAMANGALA,3,2193.0
navi Mumbai,4,2190.0
UTTAR SATALI,2,2188.0
Nautanwa,3,2187.9
DHANAURA,2,2187.0
NEDUVA,4,2187.0
DARYAPUR BANOSA,4,2186.0
Basti,3,2184.0
MAHNAR BAZAR,3,2183.0
Palghar,5,2180.0
KALYAN WEST,4,2179.0
ATHMALLIK,2,2178.36
RAMPURA PHUL,4,2178.0
PUTHUNAGARAM,4,2177.0
Pandav nagar janta garden,4,2177.0
Panagarh,2,2177.0
Abohar,3,2177.0
DEVAKOTTAI.SIVAGANGAI DISTRICT.,2,2177.0
RATANGARH,3,2176.0
BENAULIM,5,2175.0
wazirganj,2,2174.0
HIRANAGAR,3,2172.0
SRINGERI,6,2171.34
Miraj,3,2166.0
"KOSI KALAN , mathura",2,2164.0
GAURIPUR,4,2161.0
Kullu,5,2159.48
Dombivali west,3,2157.29
KRISHNARAJPET,3,2157.0
Hayathnagar,3,2155.0
JHUNJHUNU,3,2154.0
chittorgarh,2,2153.0
"Nanganallur, Chennai",2,2153.0
Dahod,4,2152.0
ERAVU,5,2151.0
SINGNAPUR KOPARGAON,2,2151.0
BARAUNI IOC TOWNSHIP,4,2150.0
Chandgad,2,2150.0
GHANSALI,2,2150.0
DEHRI,3,2147.0
GAROTH,4,2145.0
Mavelikkara,3,2143.0
CENTRAL DELHI,3,2141.33
"KHARGHAR,NAVI MUMBAI",3,2141.0
CALICUT,5,2140.0
Madhubani,3,2140.0
Chengalpattu  D.T,2,2135.0
Jadcherla,2,2135.0
BANSGAON,3,2134.0
Honnavar,3,2132.0
BAKSAR,2,2132.0
Biswanath Chariali,2,2130.0
NABHA,3,2130.0
P.N.PATTI,2,2130.0
INDRI,2,2129.0
Chinchwad-Pune,2,2128.76
kolhapur,3,2128.0
BABARPUR AJITMAL,3,2127.0
PARLI VAIJNATH,5,2126.0
SIKANDARABAD INDUSTRIAL AREA,3,2126.0
KOTTURU,2,2126.0
AMBALA cantt,3,2126.0
TIRTHAHALLI,4,2125.0
MAHARAJGANJ,4,2122.0
GARHSHANKAR,3,2120.0
PADMANABHAPURAM,3,2119.0
Mira Road,4,2118.0
DHARAMGARH,4,2117.0
PATNAGARH,2,2117.0
Kalpakam,2,2114.0
NANJIKOTTAI,3,2113.0
FEROKE,5,2113.0
KOLLEGAL,3,2112.0
CHANNAPATNA,3,2112.0
Haripad,3,2111.0
AHORE,3,2111.0
AMMAPETTAI ERODE DISTRICT,2,2106.0
kannur,4,2105.33
RAMAN,4,2105.0
ILAYANGUDI,3,2103.0
MANGALURU 575008,4,2100.0
Pune kalyani nagar,3,2099.0
SANTOKHGARH,5,2099.0
CHARIDUAR,2,2098.0
Kanyakumari,4,2097.0
Satyavedu,3,2097.0
Rupnagar,3,2096.38
Navi Mumbai 410218,2,2095.0
"Jipmer Quarters,Gorimedu",2,2095.0
BHINMAL,2,2095.0
Anantapur district,3,2094.34
KRISHNAPURAM,4,2094.0
KOSI KALAN,3,2093.0
Bhunter,3,2093.0
GADHINGLAJ,4,2093.0
ROBERTSGANJ SONBHADRA,2,2091.0
wardha,3,2090.0
Jagatsinghapur,3,2088.0
GANJIMUTT,3,2086.0
DHAURA TANDA,3,2086.0
BAIHAR,3,2086.0
"THIRUVALLA, PATHANAMTHITTA",2,2086.0
Ghansoli,4,2085.0
SALASAR,3,2084.0
LASALGAON,2,2084.0
AMTA,4,2081.62
KHERLI,2,2081.0
TALEGAON station,2,2079.0
DHARAMPUR,2,2074.0
PERIYANAICKENPALAYAM,4,2073.0
THANE (W),3,2073.0
Sitapur,2,2072.0
KURAOLI,3,2071.0
SUNDARAPANDIAPURAM,2,2070.0
SURAJGARH,4,2069.0
DHARIWAL,2,2067.0
MIRGANJ,2,2067.0
THAKURGANJ,2,2066.0
MAHMUDABAD,5,2066.0
NARASINGAPURAM VELLORE DISTRICT,4,2064.0
BASAVAKALYAN,4,2061.0
MURBAD,3,2058.0
MUKTSAR,3,2057.0
MADURANTHAKAM,3,2057.0
BAGEPALLI,3,2056.0
"Hayathnagar, HYDERABAD",2,2055.0
Bargawan,2,2054.67
MARGHERITA,2,2054.0
Tanuku,3,2054.0
SHAJAPUR,2,2054.0
chennnai,3,2053.0
ANDIPALAYAM,2,2053.0
Karunagappally,3,2051.0
NANPARA,3,2050.0
VALAYAM,3,2049.38
Risali BHILAI,4,2045.0
TIRUVURU,2,2042.0
KOPPA,4,2041.0
HOLALKERE,3,2040.0
MUNIRABAD PROJECT AREA,3,2040.0
NAZIRA,3,2039.0
DERGAON,3,2037.0
"ARVI,Dist- wardha",2,2034.0
PAINKULAM,4,2033.19
KURALI,3,2033.0
RAIRANGPUR,3,2033.0
BILGRAM,2,2032.4299999999998
Kottakkal,5,2032.1
VISSANNAPET,3,2032.0
PAPPINIVATTOM,2,2031.0
Mussoorie,3,2031.0
GANAPATHIPURAM,4,2028.0
PUNE 16,2,2028.0
CHALLAPALLE,4,2027.0
Saharsa,3,2026.0
MAKRONIA BUZURG,3,2025.0
Nayagarh,3,2024.0
TITLAGARH,3,2024.0
SIMAR SIR,3,2022.0
MANMAD,4,2022.0
Nandyal,3,2021.0
GOLUGONDA,2,2018.93
"HOSKOTE, Bangalore",3,2018.0
KHERAGARH,2,2016.5700000000002
BORLI PANCHTAN,4,2015.0
Gonda,3,2014.0
SHIMOGA,3,2014.0
donimalai,3,2013.0
"Kukatpally, HYDERABAD",4,2012.0
THIRUTHANGAL,4,2012.0
ALAND,3,2011.0
Kandivali East Mumbai,3,2011.0
GANJ DUNDWARA,3,2009.0
ALAGAPPAPURAM,5,2009.0
Banda,3,2009.0
ARNI,2,2008.0
Phagwara,3,2007.67
THOTTIYAM,4,2007.0
MOKOKCHUNG,2,2006.0
ENKAKKAD,4,2005.1
RAJGURUNAGAR KHED,3,2005.0
ULIYAZHATHURA,4,2005.0
SOUTH 24 PARGANAS,3,2003.0
������������,2,2003.0
NAJAFGARH,2,2002.0
TARAKESWAR,3,2001.0
Kunnamkulam,3,2001.0
TALIPARAMBA KANNUR,2,2000.0
MAKRANA,3,1999.0
INDUSTRIAL AREA DEVAKATHIKOPPA AND SIDLIPURA,2,1999.0
Jorethang,2,1998.0
FCI TOWNSHIP,4,1998.0
"Haldwani,Nainital",2,1998.0
Chinchpokli,2,1998.0
MALIKIPURAM,2,1998.0
KOOTTILANGADI,2,1998.0
Una,2,1997.0
UKWA,2,1997.0
JODA,4,1996.0
NAGARKURNOOL,3,1996.0
"Ravet, Pune",4,1995.48
FARSABAHAR,2,1994.54
SANKARANKOIL,3,1991.0
"MADURAVOYAL,CHENNAI",2,1987.0
bokaro,2,1987.0
Fort.MUMBAI,5,1986.0
MEDHA,3,1984.0
JAGALUR,2,1983.0
KIZHUPARAMBA,3,1981.0
Nerul,3,1981.0
ALANGULAM TIRUNELVELI DISTRICT,5,1980.0
RAGHUNATHPUR,4,1978.8600000000001
ERATTUPETTA,3,1978.0
ARMOOR,4,1978.0
Nahan,3,1977.0
PERUVILAI,3,1977.0
THUVAKUDI,3,1975.0
MODASA,2,1975.0
GREAT NICOBAR,3,1973.0
Theog,3,1972.0
BOTAD,2,1971.48
PENHA DE FRANCA,4,1971.0
Dombivali east,3,1970.0
Pottore,2,1968.0
JHAGADIYA INDUSTRIAL AREA,2,1968.0
HIJULI,3,1968.0
CHEYYUR,3,1966.0
ANUPPUR,3,1966.0
NARKATIAGANJ,5,1966.0
BARHANI BAZAR,3,1965.8600000000001
KGF,3,1963.0
PARAVADA INDUSTRIAL AREA,2,1963.0
ZAIDPUR,2,1963.0
Raikal,2,1962.0
"Chengannur, Alappuzha District",3,1962.0
BASMATH,3,1960.19
Taliparamba,3,1960.0
BAGGAR,4,1959.0
GURSAHAIGANJ,2,1957.0
Gooty,4,1957.0
West godavari,2,1957.0
BETUL BAZAR,3,1955.0
MANIYAT,4,1955.0
KHAIRTHAL,3,1955.0
TIPTUR,3,1954.0
Jehanabad,3,1954.0
WEST DELHI,2,1951.0
Koothparamba,5,1951.0
SHOLINGUR,3,1950.0
GOBRA NAWAPARA,4,1949.0
Sikkathambur Palayam,2,1949.0
"Makthal,narayanpet dist",4,1949.0
Mannuthy,4,1948.48
HATTA,3,1948.0
Vijayapura,3,1947.0
GOLA GOKARANNATH,3,1947.0
Dibrugarh,3,1945.0
VELLORE district,3,1944.1
KANNAUJ,3,1941.0
PADAGHA,2,1939.0
Unnao,4,1938.0
Tiswadi,3,1938.0
SRI MADHOPUR,6,1937.0
Kunnamthanam,5,1937.0
ETTIMADAI,4,1936.0
PUNE-412207,2,1936.0
Thullur,3,1935.0
Bheemunipatnam,4,1934.0
BENGALURU 560016,3,1933.0
KADI,3,1933.0
"BIDHAN NAGAR, Kolkata",4,1932.8600000000001
VADAKKUMMURI,3,1931.0
KAJORA,3,1930.0
KUNJATHUR,2,1930.0
Elavally,2,1930.0
Thane (West),2,1929.0
Bijapur,4,1929.0
Deoghar,3,1929.0
KHAMBHAT,4,1929.0
CHITRAKOOT,2,1927.0
Bidar,3,1926.0
tirupati,3,1925.0
Hyderbad,4,1924.0
RAIGAD,2,1924.0
Mecheda,2,1923.0
gurugram,2,1923.0
DEWA,5,1923.0
MANCHAR,2,1922.0
HINGOLI,2,1922.0
SATANA,2,1921.8600000000001
KHAGARIA,3,1921.0
GAURI BAZAR,3,1921.0
NADAPURAM,3,1921.0
NENMENIKKARA,2,1920.0
Padur,4,1920.0
PAYAKARAOPETA,2,1919.0
BAGASARA,3,1918.8600000000001
MUNDRA,3,1918.0
VADAKKUMKARA,3,1916.0
SIDDAPUR,3,1913.0
BARAUT,2,1910.6100000000001
PENNAGARAM,3,1909.0
TARAORI,3,1909.0
NASIRABAD,3,1909.0
BAHJOI,3,1909.0
Ponkunnam,2,1909.0
KIRIBURU,3,1908.0
panipat,3,1907.48
JAYPEE NAGAR,2,1906.0
BIJPUR,4,1906.0
NANDIGAMA,3,1905.0
Chikkaballapur,3,1904.29
CHITTUR,4,1903.0
mira road,2,1903.0
"Calicut,Pin-673008",2,1902.86
Uttam nagar,2,1901.0
KHALIAPALI,2,1900.0
BHATKULI,2,1900.0
BHIND,3,1900.0
Kuttippuram,2,1898.0
SULLIA,2,1898.0
IRINGAPROM,3,1897.0
Maheswaram mandal,3,1896.0
COURTALAM,3,1896.0
JAWHARNAGAR,3,1891.81
SANCHORE,3,1889.0
KUDITHIPALEM,2,1887.95
Mira Road east,2,1887.0
Bapatla,2,1886.0
"Aryanad,Trivandrum",2,1886.0
TIRUPATi,3,1885.0
North West Delhi,4,1884.0
"Perole,Nileshwar P.O, kasaragod district",3,1883.0
PUTHALAM,2,1883.0
DIPKA,3,1882.0
CHOGLAMSAR,3,1881.0
KALINGA NAGAR INDUSTRIAL AREA,3,1880.0
MUMBAI -400064,3,1880.0
East Arjun Nagar,2,1878.0
Chandausi,3,1877.0
HERBERTPUR,2,1876.0
BADRA,3,1876.0
AHMEDABAD 380013,2,1875.0
Tumakuru,4,1874.0
PEDDAPURAM,4,1872.0
Kendrapara,3,1872.0
BANDIA,4,1872.0
BULDANA,4,1871.8600000000001
KUDUR,4,1870.05
SAIHA,2,1870.0
OTHAKADAI,3,1865.0
MAHOLI,2,1864.0
KIRATPUR,4,1863.0
DALSINGHSARAI,3,1863.0
Rairangpur,3,1863.0
balrampur,2,1862.81
VAKKOM,4,1862.0
MEGHRAJ,3,1858.0
UMRED,2,1858.0
Kalaburgi,3,1858.0
PERINJANAM,3,1856.0
"Orathanad Taluk, Thanjavur Dt",2,1856.0
KHAMBHALIA,3,1853.0
SAGWARA,4,1853.0
TEOK,2,1852.0
UPLETA,3,1852.0
Kizhakkambalam,2,1851.29
SARDHANA,3,1851.0
Chorao,3,1851.0
"Chembur East, MUMBAI",2,1850.0
BISHNUPUR BANKURA DISTRICT,3,1850.0
Shahjahanpur,2,1847.0
PHULPUR ALLAHABAD DISTRICT,2,1846.29
Town Mapusa,3,1846.0
GORAYA,3,1844.0
Pala,3,1844.0
Nadiad,3,1841.0
DONGARGARH,3,1840.0
OBRA sonebhadra,2,1840.0
REPALLE,3,1839.0
Bhavnagar,3,1838.0
KALOL PANCH MAHALS DISTRICT,4,1837.0
Rewa,2,1836.0
GAZIPUR,2,1835.0
ANKOLA,3,1835.0
Agarpara,3,1835.0
ORATHANADU,2,1834.0
MURLIGANJ,2,1834.0
DINHATA,4,1828.0
ELAMAKKARA kochi,4,1828.0
Dharmapuri,3,1827.0
DAKOR,2,1827.0
SINNAR,4,1826.67
Yadgir,4,1826.48
Merces,3,1826.0
Bangla chouraha,4,1826.0
GANGOH,3,1825.0
MANDLESHWAR,2,1824.0
ITWA,2,1823.0
MAHABALESHWAR,2,1823.0
Old Goa,3,1822.0
Patancheru,2,1821.0
Payyoli,3,1820.54
Raia,3,1820.0
KONDAGAON,3,1819.0
PONDURA,2,1818.0
SINGARAYAKONDA,2,1818.0
kishanganj,3,1816.33
SIKANDRA RAO hathras,2,1816.0
Paravur,3,1815.0
Gondia,3,1814.0
LUCKNOWLucknow,3,1814.0
CHUARI KHAS,2,1814.0
KACHCHH,3,1813.0
Sihunta/samote,3,1812.0
Bandel,3,1812.0
Paliganj,2,1811.0
BORSAD,3,1811.0
PERAIYUR,2,1810.0
Thane East,3,1808.0
"Vindhyanagar, Singrauli",4,1808.0
KHELARI,2,1808.0
gaya,2,1808.0
KAIKALUR,3,1806.0
Naigaon east,3,1803.0
SIKANDERPUR BALLIA DISTRICT,2,1802.0
TILHAR,2,1801.0
Eluru,5,1801.0
PANMANA,5,1800.0
CHIPPADA PHARMA SEZ,3,1799.0
JHALOD,2,1799.0
Kanchepuram,2,1798.0
UDAIPURudaipur,2,1798.0
Kothamangalam,2,1798.0
kollam,2,1798.0
RAJAURI,3,1798.0
SHEHERA,4,1796.2
ATUL,2,1795.0
PORT BLAIR / South Andaman,2,1793.0
Airoli,3,1793.0
Trissur,3,1790.0
BHADERWAH,3,1789.0
BANDHAWAGARH,3,1788.0
KALYAN E,4,1788.0
EAST KHASI HILLS,5,1787.0
TULJAPUR,3,1787.0
KALYAN EAST,3,1785.0
"KATARAM, JAYASHANKAR BHUPALAPALLY DISTRICT",3,1784.0
Golaghat,3,1784.0
JANJGIR,3,1784.0
MANALUR,3,1783.8600000000001
LAKHIPUR GOALPARA DISTRICT,2,1779.0
PARASSALA,3,1779.0
RAMPURHAT,4,1778.48
JAYNAGAR MAZILPUR,2,1778.0
Kundapura,3,1778.0
PARICHHA,2,1778.0
Lakhisarai,2,1778.0
TITABOR TOWN,3,1777.0
"Bantwal, dakshina kannada",2,1776.0
Forbesganj,3,1776.0
"Bhosari, Pune",2,1775.0
Karapakkam chennai,2,1775.0
Nimta,3,1774.0
Sambalpur,4,1774.0
BHARWARI,2,1772.0
NEW DELHIdelhi,3,1772.0
KAIMGANJ,3,1771.0
DESAMANGALAM,2,1770.0
VELLANIKKARA,4,1769.71
Birbhum,3,1769.0
PANJIM,4,1768.0
VERAVAL RAJKOT DISTRICT,3,1763.24
TAMNAR,3,1762.0
ETAH,2,1762.0
NALLASOPARA,3,1757.0
DIST : NADIA,2,1756.0
PORTBLAIR,2,1755.19
Neemuch,2,1755.19
"Gurgaon, HSIIDC SOHNA",2,1755.0
BOKARO THERMAL TOWNSHIP,3,1754.0
KHANAKUL I,4,1753.0
Oachira,3,1753.0
SARAI MIR,2,1752.0
MALUR INDUSTRIAL AREA,3,1751.0
NAIDUPET-Nellore district,2,1751.0
PANNA,2,1750.0
Kanigiri,3,1749.0
Nalasopara east,3,1748.0
GHARAUNDA,2,1748.0
Renigunta,3,1746.0
ALIPURDUAR,2,1746.0
AKALGARH,2,1745.0
madanganj-kishangarh  ajmer,2,1744.0
THISAYANVILAI,3,1743.0
INDIAN TEHEPHONE INDUSTRY MANKAPUR,2,1741.0
JillelaGuda,4,1740.0
CHINNAMANUR,3,1739.29
ANNAVARAM,2,1739.0
"GUNDLUPET Taloku,chamarajanagara distic",2,1738.0
Saifai Etawah,3,1738.0
KAMOTHE,3,1738.0
BIHPURIA,2,1737.0
IRUGUR,3,1735.0
BEWAR,2,1734.8600000000001
AKIVIDU,2,1733.0
Churachandpur,2,1733.0
"Old Panvel, Navi Mumbai",4,1731.0
BOOTHAPANDI,3,1730.0
TOHANA,3,1730.0
ETMADPUR,2,1730.0
GANDERBAL,2,1729.0
dhrangadhra,2,1727.8600000000001
HOSANAGARA,3,1727.0
JHALRAPATAN,2,1727.0
Nandurbar,3,1725.0
Kolaghat,3,1725.0
PUNGANUR,2,1725.0
PANDHURNA,2,1724.0
Mumb,2,1719.0
PARGI,3,1719.0
MUDINEPALLE,3,1716.0
Danapur,3,1716.0
MUTHUKULAM,3,1715.0
PUTHUPPALLY,3,1715.0
JALALABAD,2,1714.0
Kansal,2,1713.0
Purnia,2,1713.0
Yeshwanthpur bangalore,2,1712.0
Kallakurichi,4,1712.0
Chanthavila,2,1710.0
Nalasopara west,2,1710.0
Muzaffarnagar,3,1709.24
VIRAR WEST,5,1708.57
NIDADAVOLE,3,1708.0
VASCO-DA-GAMA,2,1707.0
Nallasopara,3,1704.0
KALYAN West,2,1703.0
Canacona,2,1703.0
VATSAVAI,2,1702.0
Nalgonda,2,1701.0
Auroville,2,1700.0
"POTHREDDIPALLY, Sangareddy",2,1700.0
Chalakudy,2,1699.95
Amrath,1,1698.0
GUDIVADA,2,1698.0
MADHIRA,4,1697.0
RANGIA PART,3,1697.0
DEESA,3,1696.0
ANANDAPUR,2,1695.48
NOWROZABAD,2,1693.71
Koratla,2,1691.18
Attingal,2,1691.0
EKANGAR SARAI,2,1690.0
ANKLESHWR,3,1689.0
TELHARA,3,1688.0
P O Peerumadara District Nainital,2,1687.0
agra,3,1687.0
KANSABEL,2,1686.4299999999998
MOUJE ANJANVEL,2,1686.0
Kakkabe,2,1685.72
JALESWAR,2,1684.0
KALANWALI,2,1684.0
PALITANA,3,1683.0
HARINA,3,1683.0
POKARAN,3,1683.0
PENDRA,2,1680.71
AMARAVATHI,3,1680.0
ATHIYANNUR,4,1679.0
Saroornagar,3,1677.0
KESKAL,2,1676.0
HARIPAL,4,1676.0
Kharagpur,3,1676.0
Near BPTP Astaire Garden/M3M Escala,2,1676.0
Ernakullam,2,1675.0
GUDIBANDA,3,1673.0
Otur,4,1673.0
Shakarpur,4,1672.0
"Ithepalli, Chandragiri",1,1671.0
BIJBEHARA,2,1670.0
salem,3,1669.0
KUDUS,2,1668.0
KAGAL,3,1667.0
Katihar,3,1667.0
DANGUWAPASI,2,1667.0
THENNALA,3,1664.0
Sullia,3,1662.0
Srinagar garhwal,2,1661.0
DAMANJODI,2,1661.0
Kanchipuram district,3,1660.57
KADEGAON,2,1660.0
CHHOTI SADRI,2,1657.0
malout,2,1654.0
PAYYANNUR,3,1653.0
PEERMADE,3,1653.0
RAIKOT,2,1652.0
NARASANNAPETA,3,1652.0
Saligao,2,1650.0
Payradanga,2,1650.0
"New Panvel, NAVI MUMBAI",2,1650.0
JANDIALA AMRITSAR DISTRICT,3,1649.0
Manesar,2,1648.0
MAJHAULIA,2,1648.0
Mandya distic,1,1648.0
PALLIPPURAM ALAPPUZHA DISTRICT,3,1647.0
Vasco Da Gama,3,1647.0
Dombivili East,4,1646.0
Chittoor,4,1646.0
Tiruvallur,3,1646.0
Kumbakonam,3,1645.0
Gorantla,3,1645.0
MANAPPARAI,2,1644.0
"NEW TOWN, KOLKATA",2,1644.0
KARUNAGAPPALLY,3,1641.0
DHRANGADHRA,2,1640.0
Payyannur,4,1639.0
KANINA,2,1639.0
KRISHNARAJA SAGARA,2,1638.0
Greater Noida west,3,1637.0
City,3,1637.0
Sullurupeta,3,1637.0
KESHOD,2,1636.0
guntur,2,1636.0
Vetapalem,3,1634.0
"MAPUSA, BARDEZ",2,1634.0
AMBALA CANTT,2,1633.0
Taleigao,2,1633.0
BOKAKHAT,2,1633.0
MAWANA,4,1633.0
SAMALKOT,3,1633.0
Zundal,2,1632.2
BHUVANAGIRI,4,1632.0
SELOO WARDHA DISTRICT,2,1632.0
PAMUR,4,1632.0
PORSA,2,1631.0
LALPUR,3,1630.0
KOTTAKUPPAM,4,1630.0
"khajaguda, Gachibowli",2,1629.0
SIPCOT INDUSTRIAL PARK SRIPRUMBUDUR,2,1626.0
THORRUR,3,1626.0
Ara,2,1625.0
Goregaon East,2,1623.0
Sohna,2,1622.0
BACHHRAON,2,1621.0
MULAVUKAD,2,1620.0
TIRUPATHUR SIVAGANGA DISTRICT,4,1620.0
NIRSA,2,1620.0
DARLAGHAT,2,1620.0
KOLLUR,2,1620.0
Narikkuni,2,1620.0
ARASUR,2,1619.61
KARJAN,2,1619.0
CHIRGAON,2,1618.0
N.Delhi,2,1617.0
Nirjuli,3,1616.0
"phanigiri road,Chaitanyapuri,Hyderabad",2,1616.0
HD KOTE,2,1616.0
Jashpurnagar,1,1613.0
BABA BAKALA,2,1613.0
Hunsur,3,1613.0
jagadhri,1,1613.0
VYTHIRI,3,1612.0
SAKHINETIPALLE,1,1610.0
"Thakurli, Dist Thane",2,1609.0
Sawantwadi,3,1608.0
JALORE,2,1604.0
PUNE CITY,2,1603.0
WARUD,4,1602.67
badlapur,2,1602.0
VILLIANUR TALUK,2,1600.0
Newdelhi,2,1600.0
SAKTI,2,1598.0
bANGALORE,2,1598.0
AURAD,2,1598.0
Najafgarh,2,1598.0
SONARPUR,3,1596.0
"Kharghar, Navi Mumbai",2,1596.0
"Anpara,Sonebhadra",2,1596.0
GWALIOr,3,1594.0
BADAMI,2,1594.0
KANNANOOR,3,1594.0
KARARI CHANDPUR,5,1594.0
KHATRA,1,1593.0
MEENACHIL,3,1593.0
Bharatpur,2,1590.0
ERAL,3,1587.0
"Pune,",2,1586.0
Suntikoppa,3,1586.0
ASHOKNAGAR,3,1586.0
BENGALURE,2,1585.0
JAYSINGPUR,2,1585.0
North Delhi,2,1583.0
BADLI,2,1583.0
puttur,3,1583.0
DIDWANA,3,1582.0
Manja Fish Market,2,1582.0
FORTKOCHI,2,1577.0
MAWLAI,5,1576.0
"Kalyan, Thane",2,1576.0
NUMALIGARH REFINERY TOWNSHIP,3,1575.0
Gumla,2,1575.0
RAYMOND CHHINDWARA,2,1575.0
PICHHORE SHIVPURI DISTRICT,2,1574.0
SOMANDEPALLE,3,1573.0
OACHIRA,3,1572.19
TAMBARAM,4,1572.0
CHANNARAYAPATNA,3,1571.76
Pantnagar,3,1571.0
TAORU,3,1571.0
nagpur,3,1571.0
KALYAN(W),2,1571.0
Bongaigaon,3,1570.0
mangalam,2,1570.0
"Atmakur(man),nellore(dist).",2,1570.0
BIRPARA TEA GARDEN,3,1569.0
MAIHAR,3,1567.0
KARIAPATTI,2,1563.0
GIDDALURU,2,1563.0
Vasai Virar,3,1562.0
EDATHIRUTHY,3,1562.0
ABOHAR,2,1562.0
Cheppad,3,1562.0
VIRAR (w),4,1560.0
Mayurbhanj,2,1560.0
GAKULPUR,2,1560.0
VASAI East,3,1559.95
Dhamnod Dhar District,2,1559.0
DAKSHIN RAJYADHARPUR,2,1558.8600000000001
Colvale,3,1558.0
KALIABOR,2,1556.0
Nandikotkur KURNOOL,4,1556.0
NANMANDA,4,1554.38
BHAINSA,3,1554.0
"Balkum, Thane",2,1554.0
"Andheri East, Mumbai",2,1554.0
DOMBIVLI WEST,3,1553.0
kunnamangalam,2,1552.1399999999999
Pandalam,3,1552.0
FARRUKHNAGAR,3,1552.0
Samrala,2,1552.0
SHIKARPUR,3,1550.1399999999999
DEODAR,2,1550.0
MAHESHWAR,3,1550.0
Balasore,3,1549.0
Karimanagar,1,1549.0
KOTLA NIHANG,3,1549.0
NAWALGARH,3,1549.0
Falakata,2,1547.0
Chembur Mumbai,3,1547.0
ZIRAKPUR Punjab Mohali,2,1547.0
NAKREKAL,3,1546.33
Kottayam District,3,1546.0
GAURA KALA,2,1546.0
LAKHIPUR CACHAR DISTRICT,4,1544.0
PUSHKAR,2,1543.0
"bajajnagar, aurangabad.",2,1542.0
NEW TEHRI,3,1542.0
"Nelamangala taluk ,BENGALURU",2,1542.0
METTUPALAYAM TIRUCHIRAPPALLI DISTRICT,2,1542.0
"Edapally, ernakulam",2,1542.0
"New Panvel, Navi Mumbai, Raigad Dist.",2,1542.0
